,moderator,id_request,request_time,start_time,finish_time,team,before_1_resp_min,solve_prblm_min,total_requests_by_mod,hour_of_day,date
10007,180,185014,2020-11-23 13:31:39,2020-11-23 19:26:42,2020-11-23 19:27:16,wholesale,355.05,0.567,1349,13,2020-11-23
10009,180,185016,2020-11-23 13:32:43,2020-11-23 19:27:17,2020-11-23 19:28:38,wholesale,354.567,1.35,1349,13,2020-11-23
10011,180,185018,2020-11-23 13:34:22,2020-11-23 19:28:43,2020-11-23 19:29:31,wholesale,354.35,0.8,1349,13,2020-11-23
10014,180,185021,2020-11-23 13:36:13,2020-11-23 19:29:32,2020-11-23 19:29:48,wholesale,353.317,0.267,1349,13,2020-11-23
10016,180,185023,2020-11-23 13:38:14,2020-11-23 19:29:49,2020-11-23 19:31:38,wholesale,351.583,1.817,1349,13,2020-11-23
10021,180,185028,2020-11-23 13:39:47,2020-11-23 19:31:39,2020-11-23 19:31:51,wholesale,351.867,0.2,1349,13,2020-11-23
10026,180,185034,2020-11-23 13:44:55,2020-11-23 19:31:53,2020-11-23 19:33:26,wholesale,346.967,1.55,1349,13,2020-11-23
10030,180,185038,2020-11-23 13:47:22,2020-11-23 19:33:26,2020-11-23 19:36:01,wholesale,346.067,2.583,1349,13,2020-11-23
10033,180,185042,2020-11-23 13:52:07,2020-11-23 19:36:02,2020-11-23 19:36:49,wholesale,343.917,0.783,1349,13,2020-11-23
10036,180,185046,2020-11-23 13:54:24,2020-11-23 19:36:50,2020-11-23 19:37:38,wholesale,342.433,0.8,1349,13,2020-11-23
10037,180,185047,2020-11-23 13:55:40,2020-11-23 19:37:40,2020-11-23 19:38:50,wholesale,342.0,1.167,1349,13,2020-11-23
10038,180,185049,2020-11-23 13:57:08,2020-11-23 19:38:52,2020-11-23 19:39:55,wholesale,341.733,1.05,1349,13,2020-11-23
10039,180,185050,2020-11-23 13:59:25,2020-11-23 19:39:56,2020-11-23 19:42:05,wholesale,340.517,2.15,1349,13,2020-11-23
10040,180,185052,2020-11-23 14:03:41,2020-11-23 19:42:05,2020-11-23 19:42:29,wholesale,338.4,0.4,1349,14,2020-11-23
10041,180,185053,2020-11-23 14:06:15,2020-11-23 19:42:30,2020-11-23 19:43:15,wholesale,336.25,0.75,1349,14,2020-11-23
10043,180,185055,2020-11-23 14:08:41,2020-11-23 19:43:16,2020-11-23 19:43:56,wholesale,334.583,0.667,1349,14,2020-11-23
10045,180,185060,2020-11-23 14:12:32,2020-11-23 19:44:48,2020-11-23 19:46:41,wholesale,332.267,1.883,1349,14,2020-11-23
10046,180,185064,2020-11-23 14:16:40,2020-11-23 19:48:45,2020-11-23 19:49:20,wholesale,332.083,0.583,1349,14,2020-11-23
10048,180,185066,2020-11-23 14:19:33,2020-11-23 19:49:21,2020-11-23 19:50:10,wholesale,329.8,0.817,1349,14,2020-11-23
10049,180,185069,2020-11-23 14:20:52,2020-11-23 19:50:22,2020-11-23 19:52:00,wholesale,329.5,1.633,1349,14,2020-11-23
10050,180,185072,2020-11-23 14:24:40,2020-11-23 19:52:02,2020-11-23 19:52:56,wholesale,327.367,0.9,1349,14,2020-11-23
